name,last_modified,isVersionOf
Bureau of Justice Statistics,2022-04-28,https://ror.org/0006s4z66
Molecular Devices,2022-04-28,https://ror.org/0018wmh19
"Lower Saxony State Agency for Water Management, Coastal Protection and Nature Conservation",2022-04-28,https://ror.org/002e7ss22
Société des historiens médiévistes de l'enseignement supérieur public,2022-04-28,https://ror.org/002vpkf64
Instituto Tecnológico de la Producción,2022-04-28,https://ror.org/003z0hw02
Health and Wellbeing Queensland,2022-04-28,https://ror.org/004edqb24
Instituto Nacional de Innovación Agraria,2022-04-28,https://ror.org/004qcrr52
Udako Euskal Unibertsitatea,2022-04-28,https://ror.org/005k57c98
Naos Marine and Molecular Laboratories,2022-04-28,https://ror.org/007yfgf06
ResearchGate,2022-04-28,https://ror.org/008f3q107
Universidad Autónoma de Ica,2022-04-28,https://ror.org/00bqrh472
Magnetics Information Consortium,2022-04-28,https://ror.org/00f89wy98
